rootvg:
LV NAME             TYPE       LPs     PPs     PVs  LV STATE      MOUNT POINT
hd5                 boot       1       1       1    closed/syncd  N/A
hd6                 paging     8       8       1    open/syncd    N/A
hd8                 jfslog     1       1       1    open/syncd    N/A
hd4                 jfs        2       2       1    open/syncd    /
hd2                 jfs        41      41      1    open/syncd    /usr
hd9var              jfs        2       2       1    open/syncd    /var
hd3                 jfs        1       1       1    open/syncd    /tmp
hd1                 jfs        1       1       1    open/syncd    /home
hd10opt             jfs        6       6       1    open/syncd    /opt
lv00                jfs        48      48      1    open/syncd    /aix_update
loglv00             jfs2log    1       1       1    closed/syncd  N/A
fslv00              jfs2       2       2       1    closed/syncd  /sysadmin
fslv01              jfs2       1       1       1    closed/syncd  /var/adsmlog
fslv02              jfs2       1       1       1    closed/syncd  /etc/perf
fslv03              jfs2       296     296     1    closed/syncd  /export/lpp_source
fslv04              jfs2       48      48      1    closed/syncd  /export/spot
fslv05              jfs2       48      48      1    closed/syncd  /export/images
fslv06              jfs2       3       3       1    closed/syncd  /tftpboot
cdlv                jfs        12      12      1    closed/syncd  N/A
fslv07              jfs2       1       1       1    closed/syncd  /sadmin
